,open,high,low,close,volume,returns,log_returns,price_change,typical_price,sma_20,sma_50,ema_20,rsi,atr
2025-06-16 20:58:27.018106+00:00,15151.271929326796,15240.170036910378,15102.332754603965,15102.332754603965,9083,,,,15148.27851537277,,,15102.332754603965,,
2025-06-16 21:28:27.018106+00:00,15110.943223658,15124.620256137148,15076.362843577574,15076.376068868925,736,-0.0017187202902232412,-0.0017201989844920417,-25.956685735040082,15092.453056194548,,,15088.70549459307,,
2025-06-16 21:58:27.018106+00:00,15309.491092291519,15408.760278068667,15099.17658771287,15357.086901976818,3875,0.018619251193098707,0.018448034949204127,280.71083310789254,15288.34125591945,,,15187.253538436727,,
2025-06-16 22:28:27.018106+00:00,15784.580819409452,15816.12535329437,15745.140662642636,15756.380011463878,2521,0.02600057628349184,0.025668308428236655,399.29310948706006,15772.548675800295,,,15351.55155173799,,
2025-06-16 22:58:27.018106+00:00,15712.404540855845,15763.576455934506,15671.061444804045,15754.853160896211,9380,-9.690363944991898e-05,-9.690833491092892e-05,-1.52685056766677,15729.830353878255,,,15449.106778971165,,
2025-06-16 23:28:27.018106+00:00,15640.563429865353,15720.303838727083,15531.991504454616,15720.303838727083,4283,-0.002192932032834216,-0.002195340029310353,-34.54932216912857,15657.53306063626,,,15506.316971002321,,
2025-06-16 23:58:27.018106+00:00,16144.057345117551,16191.388816837032,16112.978274080484,16124.597539249766,812,0.025717931706046526,0.02539278858656962,404.29370052268314,16142.98821005576,,,15623.218522894565,,
2025-06-17 00:28:27.018106+00:00,16395.39840321482,16496.909124675374,16364.002118270468,16428.91202361825,5945,0.01887268712460788,0.01869680740130568,304.31448436848405,16429.941088854695,,,15762.48669293531,,
2025-06-17 00:58:27.018106+00:00,16243.798782695389,16245.526438756846,16187.577746869689,16187.577746869689,5423,-0.014689607954660566,-0.014798568621802248,-241.33427674856102,16206.893977498743,,,15830.673376580298,,
2025-06-17 01:28:27.018106+00:00,16422.665501163738,16459.849698654012,16247.71759803441,16459.849698654012,6132,0.016819808129537872,0.016679921554595013,272.2719517843234,16389.138998447477,,,15925.421878976107,,
2025-06-17 01:58:27.018106+00:00,16272.784822034095,16411.283709608597,16210.280468359186,16282.520372871038,3744,-0.010773447451192353,-0.010831901247890137,-177.32932578297368,16301.361516946274,,,15976.377271869036,,
2025-06-17 02:28:27.018106+00:00,16123.526433132905,16146.407568871788,16106.161676886262,16146.407568871788,7873,-0.008359443187065385,-0.008394579281405386,-136.1128039992509,16132.992271543279,,,15999.540185476488,,
2025-06-17 02:58:27.018106+00:00,16203.361487562894,16414.141547438663,16162.183185055697,16171.9801746145,2208,0.0015837953819530792,0.0015825425007443305,25.572605742712767,16249.434969036287,,,16022.106377445833,,
2025-06-17 03:28:27.018106+00:00,15596.602702410677,15640.702848747158,15290.42285429812,15518.880928146184,3714,-0.04038461829760964,-0.04122271885953958,-653.0992464683168,15483.335543730485,,,15958.517674005458,57.04493771672061,301.7940028704742
2025-06-17 03:58:27.018106+00:00,15069.227618454654,15201.89429245374,14912.197757115298,15091.978478194156,9534,-0.02750858466719497,-0.02789403094977778,-426.9024499520274,15068.690175921065,,,15852.324984073828,49.84697816590543,335.2829949222222
2025-06-17 04:28:27.018106+00:00,14902.202306243844,14958.33455246091,14773.693414285639,14809.954552591074,7057,-0.01868700820177871,-0.018863816482803972,-282.0239256030818,14847.327506445874,,,15727.980364931766,46.339694963488114,354.5706843042895
2025-06-17 04:58:27.018106+00:00,14604.831306958678,14632.665076520907,14583.84069430645,14590.926755745531,5379,-0.014789228155141276,-0.014899679132454071,-219.02779684554298,14602.477508857628,,,15595.526760082856,39.29241611055123,346.9799449532098
2025-06-17 05:28:27.018106+00:00,14698.380711878815,14793.167096897329,14677.264363746603,14739.88226005409,4432,0.010208776097783145,0.010157018499510907,148.95550430855837,14736.771240232672,,,15497.928070404905,34.72495116776163,328.637222798513
2025-06-17 05:58:27.018106+00:00,14435.303678601522,14483.89156478329,14432.018763191429,14443.613984879212,4000,-0.020099772165601437,-0.020304520832585844,-296.268275174878,14453.17477095131,,,15379.890455113335,31.899240435905867,344.0192574936701
2025-06-17 06:28:27.018106+00:00,14034.671117651176,14116.704162383534,14004.901030574178,14116.704162383534,8039,-0.02263351975744532,-0.022893589554549447,-326.9098224956779,14079.436451780415,15494.055949163983,,15240.793694619804,29.516745195405704,359.43720734105864
